Mothur_Name,Read_Number,Concentration,Cruise,Sed_or_Mus_or_Wat,Type,Depth_in_Meters,Lake,Month_Collected,Mussel Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,,,,,,,,,,
LM15_S54_S73,9307,8.31,Survey,Sediment,Sediment,45,Michigan,July,,,Few,silty sand,,,,,,,,,,
LM15_S55_S61,11800,6.55,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silt over sandy silt,,,,,,,,,,
LM15_S56_S49,13634,4.77,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silt over sandy silt,,,,,,,,,,
LM15_S57_S37,12219,11.89,Survey,Sediment,Sediment,45,Michigan,July,,,Moderate,silt over sandy silt,,,,,,,,,,
LM15_S58_S25,14656,9.35,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S59_S13,11615,21.92,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
LM15_S60_S1,10755,9.68,Survey,Sediment,Sediment,45,Michigan,July,,,Many,silty sand,,,,,,,,,,
M15B1_S115_S21,7424,4.24,Transect,Sediment,Sediment,15,Michigan,October,,,,sand,,,,,,,,,,
M15B1_S415_S136,876.8,0.67,Transect,Sediment,Sediment,15,Michigan,April,,,,sand,,,,,,,,,,
M15B1_S515_S137,7682,2.73,Transect,Sediment,Sediment,15,Michigan,May,,,,sand,,,,,,,,,,
M15B1_S615_S111,16128,5.76,Transect,Sediment,Sediment,15,Michigan,June,,,,sand,,,,,,,,,,
M15B1_S715_S138,466.5,0.7,Transect,Sediment,Sediment,15,Michigan,July,,,,sand,,,,,,,,,,
M15B1_S815_S181,8486,3.7,Transect,Sediment,Sediment,15,Michigan,August,,,,sand,,,,,,,,,,
M15B1_S915_S121,7843,5.6,Transect,Sediment,Sediment,15,Michigan,September,,,,sand,,,,,,,,,,
M15B2_S115_S33,7408,4.73,Transect,Sediment,Sediment,15,Michigan,October,,,,sand,,,,,,,,,,
M15B2_S415_S148,10256,1.32,Transect,Sediment,Sediment,15,Michigan,April,,,,sand,,,,,,,,,,
M15B2_S515_S149,7175,1.93,Transect,Sediment,Sediment,15,Michigan,May,,,,sand,,,,,,,,,,
M15B2_S615_S123,13876,2.11,Transect,Sediment,Sediment,15,Michigan,June,,,,sand,,,,,,,,,,
M15B2_S715_S150,3917,1.58,Transect,Sediment,Sediment,15,Michigan,July,,,,sand,,,,,,,,,,
M15B2_S815_S98,9813,6.33,Transect,Sediment,Sediment,15,Michigan,August,,,,sand,,,,,,,,,,
M15B2_S915_S109,7955,28.93,Transect,Sediment,Sediment,15,Michigan,September,,,,sand,,,,,,,,,,
M15S2W115D_S111,6990,2.57,Transect,Sediment,Sediment,45,Michigan,October,,,,clay,,,,,,,,,,
M15S2W415D_S169,12572,0.97,Transect,Sediment,Sediment,45,Michigan,April,,,,clay,,,,,,,,,,
M15S2W515D_S127,11092,13.23,Transect,Sediment,Sediment,45,Michigan,May,,,,clay,,,,,,,,,,
M15S2W615D_S183,17351,6.31,Transect,Sediment,Sediment,45,Michigan,June,,,,clay,,,,,,,,,,
M15S2W715D_S162,5784,1.09,Transect,Sediment,Sediment,45,Michigan,July,,,,clay,,,,,,,,,,
M15S2W815D_S170,8623,4.12,Transect,Sediment,Sediment,45,Michigan,August,,,,clay,,,,,,,,,,
M15S2W915D_S109,8945,3.86,Transect,Sediment,Sediment,45,Michigan,September,,,,clay,,,,,,,,,,
M45B1_S115_S92,7231,3.56,Transect,Sediment,Sediment,45,Michigan,October,,,,clay,,,,,,,,,,
M45B1_S415_S112,11543,0.81,Transect,Sediment,Sediment,45,Michigan,April,,,,clay,,,,,,,,,,
M45B1_S515_S113,8945,25.05,Transect,Sediment,Sediment,45,Michigan,May,,,,clay,,,,,,,,,,
M45B1_S615_S159,16538,5.85,Transect,Sediment,Sediment,45,Michigan,June,,,,clay,,,,,,,,,,
M45B1_S715_S114,4223,0.64,Transect,Sediment,Sediment,45,Michigan,July,,,,clay,,,,,,,,,,
M45B1_S815_S158,9395,4.02,Transect,Sediment,Sediment,45,Michigan,August,,,,clay,,,,,,,,,,
M45B1_S915_S169,7441,2.8,Transect,Sediment,Sediment,45,Michigan,September,,,,clay,,,,,,,,,,
M45B2_S115_S9,5108,17.37,Transect,Mussel,Whole Mussel,45,Michigan,June,Medium,0.4,,clay ,,,,,,,,,,
M45B2_S415_S124,11897,2.67,Transect,Mussel,Whole Mussel,45,Michigan,July,Small,0.2,,clay,,,,,,,,,,
M45B2_S515_S125,19120,9.39,Transect,Mussel,Whole Mussel,45,Michigan,August,Medium,0.4,,clay,,,,,,,,,,
M45B2_S615_S171,14817,25,Transect,Mussel,Whole Mussel,45,Michigan,June,Medium,0.3,,clay,,,,,,,,,,
M45B2_S715_S126,2960,0.93,Transect,Mussel,Whole Mussel,45,Michigan,July,Small,0.1,,clay,,,,,,,,,,
M45B2_S815_S170,9138,5.24,Transect,Mussel,Whole Mussel,45,Michigan,August,Large,0.5,,clay,,,,,,,,,,
MBRB1_515_S12,7561,24.06,Muskegon,Sediment,Sediment,16,Muskegon,May,,,,,,,,,,,,,,
MBRB1_715_S23,9620,14.87,Muskegon,Sediment,Sediment,16,Muskegon,July,,,,,,,,,,,,,,
MBRB1_S915_S69,8374,9.51,Muskegon,Sediment,Sediment,16,Muskegon,September,,,,,,,,,,,,,,
MBRB2_515_S24,10344,15.87,Muskegon,Sediment,Sediment,16,Muskegon,May,,,,,,,,,,,,,,
MBRB2_715_S35,9387,9.8,Muskegon,Sediment,Sediment,16,Muskegon,July,,,,,,,,,,,,,,
MBRB2_S915_S81,8253,11.23,Muskegon,Sediment,Sediment,16,Muskegon,September,,,,,,,,,,,,,,
MDPB1_515_S36,9266,10.45,Muskegon,Sediment,Sediment,24,Muskegon,May,,,,,,,,,,,,,,
MDPB1_715_S70,10071,14.38,Muskegon,Sediment,Sediment,24,Muskegon,July,,,,,,,,,,,,,,
MDPB1_S915_S22,9226,7.46,Muskegon,Sediment,Sediment,24,Muskegon,September,,,,,,,,,,,,,,
MDPB2_515_S48,8929,14.33,Muskegon,Sediment,Sediment,24,Muskegon,May,,,,,,,,,,,,,,
MDPB2_715_S82,9162,8.06,Muskegon,Sediment,Sediment,24,Muskegon,July,,,,,,,,,,,,,,
MDPB2_S915_S34,10063,8.54,Muskegon,Sediment,Sediment,24,Muskegon,September,,,,,,,,,,,,,,
MINB1_515_S60,11776,16.85,Muskegon,Sediment,Sediment,8,Muskegon,May,,,,,,,,,,,,,,
MINB1_715_S47,8631,6.13,Muskegon,Sediment,Sediment,8,Muskegon,July,,,,,,,,,,,,,,
MINB1_S915_S46,10175,13.86,Muskegon,Sediment,Sediment,8,Muskegon,September,,,,,,,,,,,,,,
MINB2_515_S72,9122,15.14,Muskegon,Sediment,Sediment,8,Muskegon,May,,,,,,,,,,,,,,
MINB2_715_S59,10795,7.82,Muskegon,Sediment,Sediment,8,Muskegon,July,,,,,,,,,,,,,,
MINB2_S915_S58,11141,9.61,Muskegon,Sediment,Sediment,8,Muskegon,September,,,,,,,,,,,,,,
MLBB1_S115_S45,7875,7.73,Transect,Sediment,Sediment,10,Muskegon,October,,,,black mud,,,,,,,,,,
MLBB1_S415_S160,14447,4.65,Transect,Sediment,Sediment,10,Muskegon,April,,,,black mud,,,,,,,,,,
MLBB1_S515_2_S359,8792,8.13,Transect,Sediment,Sediment,10,Muskegon,May,,,,black mud,,,,,,,,,,
MLBB1_S615_S135,20938,8.65,Transect,Sediment,Sediment,10,Muskegon,June,,,,black mud,,,,,,,,,,
MLBB1_S715_S162,6274,10.12,Transect,Sediment,Sediment,10,Muskegon,July,,,,black mud,,,,,,,,,,
MLBB1_S815_S110,N/A,18.14,Transect,Sediment,Sediment,10,Muskegon,August,,,,black mud,,,,,,,,,,
MLBB1_S915_S97,9226,12.71,Transect,Sediment,Sediment,10,Muskegon,September,,,,black mud,,,,,,,,,,
MLBB2_S115_S57,8896,5.81,Transect,Sediment,Sediment,10,Muskegon,October,,,,black mud,,,,,,,,,,
MLBB2_S415_S172,13964,2.97,Transect,Sediment,Sediment,10,Muskegon,April,,,,black mud,,,,,,,,,,
MLBB2_S515_S173,9677,14.67,Transect,Sediment,Sediment,10,Muskegon,May,,,,black mud,,,,,,,,,,
MLBB2_S615_S147,18565,7.49,Transect,Sediment,Sediment,10,Muskegon,June,,,,black mud,,,,,,,,,,
MLBB2_S715_S174,5470,6.94,Transect,Sediment,Sediment,10,Muskegon,July,,,,black mud,,,,,,,,,,
